,Directive,Description,Example,Try it
0,%a,"Weekday, short version",Wed,
1,%A,"Weekday, full version",Wednesday,
2,%w,"Weekday as a number 0-6, 0 is Sunday",3,
3,%d,Day of month 01-31,31,
4,%b,"Month name, short version",Dec,
5,%B,"Month name, full version",December,
6,%m,Month as a number 01-12,12,
7,%y,"Year, short version, without century",18,
8,%Y,"Year, full version",2018,
9,%H,Hour 00-23,17,
10,%I,Hour 01-12,05,
11,%p,AM/PM,PM,
12,%M,Minute 00-59,41,
13,%S,Second 00-59,08,
14,%f,Microsecond 000000-999999,548513,
15,%z,UTC offset,+0100,
16,%Z,Timezone,CST,
17,%j,Day number of year 001-366,365,
18,%U,"Week number of year, Sunday as the first day of week, 00-53",52,
19,%W,"Week number of year, Monday as the first day of week, 00-53",52,
20,%c,Local version of date and time,Mon Dec 31 17:41:00 2018,
21,%x,Local version of date,12/31/18,
22,%X,Local version of time,17:41:00,
23,%%,A % character,%,
